,time,ID,01VCU_Tx_trqMCUFL,02VCU_Tx_nMCUFL,03VCU_Tx_stMCUFLKeyOn,04VCU_Tx_stMCUFLActDischrg,05VCU_Tx_stMCUFLActSC,06VCU_Tx_stMCUFLReq,07VCU_Tx_stMCUCFLMod,08VCU_Tx_stMCUFLTrqFlg,09VCU_Tx_stMCUFLNFlg,10VCU_Tx_ctRolling5,11VCU_Tx_numChkS5
313,178.41003700000005,512,29971,32769,1,0,0,1,0,0,0,13,78
314,178.980037,512,29971,32769,1,0,0,1,0,0,0,6,205
315,179.55003200000004,512,29926,32769,1,0,0,1,0,0,0,15,77
316,180.120034,512,29908,32769,1,0,0,1,0,0,0,8,199
317,180.690034,512,29896,32769,1,0,0,1,0,0,0,1,67
318,181.260092,512,29891,32769,1,0,0,1,0,0,0,10,193
319,181.83003100000002,512,29881,32769,1,0,0,1,0,0,0,3,60
320,182.400028,512,29881,32769,1,0,0,1,0,0,0,12,182
321,182.970023,512,29866,32769,1,0,0,1,0,0,0,5,53
322,183.540029,512,29855,32769,1,0,0,1,0,0,0,14,165
323,184.110024,512,29851,32769,1,0,0,1,0,0,0,7,21
324,184.680027,512,29858,32769,1,0,0,1,0,0,0,0,131
325,185.25002,512,29906,32769,1,0,0,1,0,0,0,9,243
326,185.820026,512,29917,32769,1,0,0,1,0,0,0,2,99
327,186.39001399999998,512,29885,32769,1,0,0,1,0,0,0,11,211
328,186.960077,512,29888,32769,1,0,0,1,0,0,0,4,67
329,187.530017,512,29941,32769,1,0,0,1,0,0,0,13,179
330,188.100014,512,30000,32769,1,0,0,1,0,0,0,6,32
331,188.67001499999998,512,30000,32769,1,0,0,1,0,0,0,15,149
332,189.24001299999998,512,30000,32769,1,0,0,1,0,0,0,8,13
333,189.810016,512,30000,32769,1,0,0,1,0,0,0,1,130
334,190.380011,512,30000,32769,1,0,0,1,0,0,0,10,96
335,190.95001100000002,512,30000,32769,1,0,0,1,0,0,0,3,212
336,191.52001299999998,512,30046,32769,1,0,0,1,0,0,0,12,57
337,192.090005,512,30172,32769,1,0,0,1,0,0,0,5,144
338,192.66006399999998,512,30286,32769,1,0,0,1,0,0,0,14,19
339,193.230002,512,30300,32769,1,0,0,1,0,0,0,7,160
340,193.800012,512,30310,32769,1,0,0,1,0,0,0,0,98
341,194.370302,512,30288,32769,1,0,0,1,0,0,0,9,16
342,194.940087,512,30272,32769,1,0,0,1,0,0,0,2,105
343,195.510089,512,30266,32769,1,0,0,1,0,0,0,11,240
344,196.080062,512,30241,32769,1,0,0,1,0,0,0,4,135
345,196.650053,512,30147,32769,1,0,0,1,0,0,0,13,31
346,197.220045,512,30142,32769,1,0,0,1,0,0,0,6,167
347,197.790044,512,30030,32769,1,0,0,1,0,0,0,15,31
348,198.359787,512,30089,32769,1,0,0,1,0,0,0,8,143
349,198.930059,512,30083,32769,1,0,0,1,0,0,0,1,5
350,199.500013,512,30014,32769,1,0,0,1,0,0,0,10,120
351,200.07001499999998,512,30015,32769,1,0,0,1,0,0,0,3,232
352,200.640018,512,30012,32769,1,0,0,1,0,0,0,12,80
353,201.210011,512,30013,32769,1,0,0,1,0,0,0,5,184
354,201.78000600000001,512,30044,32769,1,0,0,1,0,0,0,14,28
355,202.35001,512,30059,32769,1,0,0,1,0,0,0,7,130
356,202.920003,512,30058,32769,1,0,0,1,0,0,0,0,237
357,203.490024,512,30058,32769,1,0,0,1,0,0,0,9,91
358,204.059745,512,30060,32769,1,0,0,1,0,0,0,2,203
359,204.630007,512,30056,32769,1,0,0,1,0,0,0,11,56
360,205.20001200000002,512,30022,32769,1,0,0,1,0,0,0,4,168
361,205.77,512,30066,32769,1,0,0,1,0,0,0,13,24
362,206.339981,512,30084,32769,1,0,0,1,0,0,0,6,138
363,206.90998100000002,512,30082,32769,1,0,0,1,0,0,0,15,4
364,207.479966,512,30080,32769,1,0,0,1,0,0,0,8,129
365,208.04998500000002,512,30078,32769,1,0,0,1,0,0,0,1,248
366,208.619943,512,30070,32769,1,0,0,1,0,0,0,10,108
367,209.189969,512,30109,32769,1,0,0,1,0,0,0,3,222
368,209.759722,512,30191,32769,1,0,0,1,0,0,0,12,89
369,210.329923,512,30213,32769,1,0,0,1,0,0,0,5,227
370,210.89992999999998,512,30254,32769,1,0,0,1,0,0,0,14,115
371,211.46993700000002,512,30258,32769,1,0,0,1,0,0,0,7,10
372,212.03992200000002,512,30195,32769,1,0,0,1,0,0,0,0,130
373,212.609935,512,30125,32769,1,0,0,1,0,0,0,9,242
374,213.17991400000002,512,30083,32769,1,0,0,1,0,0,0,2,98
375,213.7499,512,30001,32769,1,0,0,1,0,0,0,11,210
376,214.319906,512,30020,32769,1,0,0,1,0,0,0,4,66
377,214.88988799999998,512,30126,32769,1,0,0,1,0,0,0,13,178
378,215.45968100000002,512,30182,32769,1,0,0,1,0,0,0,6,34
379,216.029913,512,30192,32769,1,0,0,1,0,0,0,15,146
380,216.5999,512,30192,32769,1,0,0,1,0,0,0,8,2
381,217.169879,512,30192,32769,1,0,0,1,0,0,0,1,114
382,217.739892,512,30000,32769,1,0,0,1,0,0,0,10,226
